Website Name,Date From,Date To,Row Count,Sessions,Engaged sessions,Views,Active users,New users,Total users,Total revenue
Ukraine Singles,2025-10-05,2025-10-11,81190,112306.0,106568.0,151855.0,98395.0,1508.0,98486.0,7050.0
bit,2025-10-05,2025-10-06,14,14.0,5.0,3.0,14.0,3.0,14.0,0.0
blonderussianwomen,2025-10-10,2025-10-10,10,10.0,0.0,2.0,10.0,2.0,10.0,0.0
colombiansingles,2025-10-10,2025-10-10,3,6.0,0.0,2.0,6.0,2.0,6.0,0.0
myforeignlove,2025-10-07,2025-10-08,10,10.0,10.0,4.0,10.0,2.0,10.0,0.0
prettywomentours,2025-10-10,2025-10-10,4,4.0,4.0,1.0,4.0,1.0,4.0,0.0
russia-women,2025-10-08,2025-10-08,12,12.0,12.0,2.0,12.0,2.0,12.0,0.0
russian-women-videos,2025-10-05,2025-10-05,4,4.0,0.0,1.0,4.0,1.0,4.0,0.0
secureordering,2025-10-05,2025-10-11,20,20.0,20.0,0.0,20.0,0.0,20.0,0.0
shanghai-women,2025-10-08,2025-10-08,4,4.0,4.0,1.0,4.0,1.0,4.0,0.0
worldoflove,2025-10-07,2025-10-07,4,4.0,0.0,1.0,4.0,1.0,4.0,0.0
ALL WEBSITES,2025-10-05,2025-10-11,716491,1066865.0,969037.0,711081.0,960495.0,30137.0,964563.0,41310.0
